Date,Open,High,Low,Close,Adj Close,Volume
2022-03-31,708.510010,708.640015,675.229980,675.960022,675.960022,2222700
2022-04-01,687.559998,716.877014,678.510010,693.000000,693.000000,2941200
2022-04-04,696.390015,730.890015,692.000000,727.289978,727.289978,1959000
2022-04-05,729.000000,741.340027,692.010010,702.919983,702.919983,2378400
2022-04-06,684.630005,685.440002,638.440002,656.580017,656.580017,3337200
2022-04-07,656.000000,669.049988,620.450012,643.969971,643.969971,2900100
2022-04-08,639.299988,641.729980,600.059998,603.179993,603.179993,4183300
2022-04-11,614.510010,628.979980,593.679993,617.380005,617.380005,3902700
2022-04-12,627.559998,644.369995,590.239990,591.059998,591.059998,3680100
2022-04-13,590.969971,622.000000,578.950012,604.780029,604.780029,2884700
2022-04-14,602.409973,607.000000,579.010010,579.510010,579.510010,2282500
2022-04-18,575.000000,586.890991,556.000000,581.000000,581.000000,2319900
2022-04-19,577.500000,614.000000,576.000000,605.630005,605.630005,2142500
2022-04-20,592.979980,594.000000,525.000000,525.000000,525.000000,5118700
2022-04-21,535.010010,537.744995,472.574005,481.000000,481.000000,5935500
2022-04-22,480.000000,492.709991,454.029999,459.970001,459.970001,4486000
2022-04-25,461.980011,475.850006,453.390015,459.209991,459.209991,4006900
2022-04-26,455.059998,458.529999,428.000000,428.089996,428.089996,3741200
2022-04-27,423.989990,439.970001,413.320007,416.200012,416.200012,3191300
2022-04-28,428.809998,452.130005,411.170013,443.279999,443.279999,4185600
2022-04-29,422.000000,463.380005,421.489990,426.820007,426.820007,3974600
2022-05-02,421.149994,454.140015,421.149994,452.980011,452.980011,3371900
2022-05-03,451.750000,475.350006,449.450012,465.200012,465.200012,3736300
2022-05-04,457.660004,487.989990,439.100006,485.489990,485.489990,4470800
2022-05-05,407.640015,424.880005,395.859985,413.089996,413.089996,11360800
2022-05-06,401.059998,401.489990,355.130005,377.489990,377.489990,10265300
2022-05-09,362.000000,371.709991,337.290009,340.040009,340.040009,6412700
2022-05-10,354.899994,366.100006,318.000000,335.390015,335.390015,6086200
2022-05-11,331.940002,346.000000,315.250000,318.589996,318.589996,6328700
2022-05-12,313.609985,385.000000,308.059998,353.510010,353.510010,9427400
2022-05-13,372.179993,408.630005,372.179993,402.480011,402.480011,6143000
2022-05-16,397.760010,398.239990,356.950012,359.950012,359.950012,5413400
2022-05-17,374.007996,384.970001,346.381989,372.640015,372.640015,4719600
2022-05-18,363.059998,379.730011,355.019989,360.619995,360.619995,4240400
2022-05-19,362.160004,413.700012,360.500000,391.329987,391.329987,7601800
2022-05-20,400.690002,403.989990,340.010010,363.850006,363.850006,5660700
2022-05-23,362.010010,368.790009,342.000000,368.489990,368.489990,4042900
2022-05-24,356.410004,356.410004,319.000000,324.839996,324.839996,4437500
2022-05-25,329.480011,336.750000,318.000000,333.109985,333.109985,3799400
2022-05-26,329.730011,357.127014,325.350006,351.320007,351.320007,3073400
2022-05-27,356.769989,371.815002,355.635010,369.040009,369.040009,3108700
