Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,3.150000,3.260000,3.010000,3.220000,3.220000,23016100
2022-01-04,3.170000,3.235000,2.950000,3.040000,3.040000,32806500
2022-01-05,3.010000,3.045000,2.785000,2.790000,2.790000,29788300
2022-01-06,2.770000,2.815000,2.570000,2.720000,2.720000,27287900
2022-01-07,2.690000,2.840000,2.681000,2.760000,2.760000,16431500
2022-01-10,2.670000,2.690000,2.510000,2.590000,2.590000,26165000
2022-01-11,2.590000,2.890000,2.550000,2.790000,2.790000,26749900
2022-01-12,2.800000,2.868000,2.710000,2.720000,2.720000,15142300
2022-01-13,2.730000,2.750000,2.530000,2.530000,2.530000,14902200
2022-01-14,2.500000,2.590000,2.440000,2.530000,2.530000,18071100
2022-01-18,2.480000,2.600000,2.440000,2.470000,2.470000,18813200
2022-01-19,2.480000,2.590000,2.430000,2.450000,2.450000,16870900
2022-01-20,2.490000,2.720000,2.480000,2.500000,2.500000,21562300
2022-01-21,2.490000,2.635000,2.410000,2.470000,2.470000,27683000
2022-01-24,2.380000,2.400000,2.100000,2.380000,2.380000,35735900
2022-01-25,2.290000,2.390000,2.220000,2.300000,2.300000,16224500
2022-01-26,2.345000,2.570000,2.310000,2.360000,2.360000,30351300
2022-01-27,2.420000,2.450000,2.220000,2.230000,2.230000,18913900
2022-01-28,2.220000,2.350000,2.140000,2.310000,2.310000,18071800
2022-01-31,2.340000,2.680000,2.340000,2.650000,2.650000,28052500
2022-02-01,2.764000,2.930000,2.610000,2.860000,2.860000,27487600
2022-02-02,2.900000,2.900000,2.560000,2.580000,2.580000,23376900
2022-02-03,2.460000,2.540000,2.300000,2.310000,2.310000,16840800
2022-02-04,2.360000,2.390000,2.250000,2.350000,2.350000,22380600
2022-02-07,2.370000,2.490000,2.300000,2.300000,2.300000,16471000
2022-02-08,2.280000,2.375000,2.260000,2.340000,2.340000,20998100
2022-02-09,2.380000,2.540000,2.340000,2.530000,2.530000,41964900
2022-02-10,2.430000,2.650000,2.400000,2.440000,2.440000,23404200
2022-02-11,2.450000,2.525000,2.250000,2.260000,2.260000,24051000
2022-02-14,2.260000,2.350000,2.200000,2.240000,2.240000,20904700
2022-02-15,2.340000,2.670000,2.320000,2.650000,2.650000,30348200
2022-02-16,2.550000,2.607000,2.480000,2.510000,2.510000,15195300
2022-02-17,2.478000,2.490000,2.300000,2.320000,2.320000,17768100
2022-02-18,2.340000,2.360000,2.160000,2.170000,2.170000,37131400
2022-02-22,2.100000,2.180000,2.000000,2.050000,2.050000,31350200
2022-02-23,2.120000,2.120000,1.980000,2.010000,2.010000,26314500
2022-02-24,1.850000,2.210000,1.830000,2.180000,2.180000,28251900
2022-02-25,2.150000,2.280000,2.063000,2.270000,2.270000,27953500
2022-02-28,2.250000,2.390000,2.240000,2.370000,2.370000,22483100
2022-03-01,2.370000,2.390000,2.230000,2.270000,2.270000,21108700
2022-03-02,2.120000,2.150000,2.050000,2.140000,2.140000,20755400
2022-03-03,2.142000,2.170000,1.950000,1.970000,1.970000,20733000
2022-03-04,1.950000,2.010000,1.850000,1.900000,1.900000,18256900
2022-03-07,1.880000,2.030000,1.870000,1.990000,1.990000,20634700
2022-03-08,2.000000,2.100000,1.840000,2.030000,2.030000,20893100
2022-03-09,2.070000,2.130000,2.020000,2.100000,2.100000,11841900
2022-03-10,2.060000,2.100000,1.980000,2.060000,2.060000,12468500
2022-03-11,2.040000,2.080000,1.850000,1.880000,1.880000,16340800
2022-03-14,1.850000,1.855000,1.750000,1.780000,1.780000,12807900
2022-03-15,1.770000,1.775000,1.600000,1.700000,1.700000,30095800
2022-03-16,1.770000,2.000000,1.750000,1.990000,1.990000,25625300
2022-03-17,1.910000,2.140000,1.835000,2.120000,2.120000,19653400
2022-03-18,2.060000,2.270000,2.030000,2.180000,2.180000,30273100
2022-03-21,2.180000,2.200000,2.060000,2.130000,2.130000,14607400
2022-03-22,2.080000,2.380000,2.080000,2.330000,2.330000,22630200
2022-03-23,2.300000,2.480000,2.250000,2.390000,2.390000,24611100
2022-03-24,2.400000,2.575000,2.343000,2.440000,2.440000,21943100
2022-03-25,2.410000,2.422000,2.280000,2.320000,2.320000,12658300
2022-03-28,2.320000,2.410000,2.220000,2.380000,2.380000,17607600
2022-03-29,2.440000,2.580000,2.435000,2.540000,2.540000,17217500
2022-03-30,2.500000,2.560000,2.360000,2.380000,2.380000,13175800
2022-03-31,2.400000,2.400000,2.230000,2.250000,2.250000,13982000
2022-04-01,2.300000,2.320000,2.210000,2.280000,2.280000,8845400
2022-04-04,2.330000,2.530000,2.270000,2.500000,2.500000,12243800
2022-04-05,2.490000,2.495000,2.300000,2.320000,2.320000,10352500
2022-04-06,2.270000,2.270000,2.140000,2.210000,2.210000,14474900
2022-04-07,2.220000,2.260000,2.035000,2.130000,2.130000,10450700
